| Domain                          | IP              | Port | Response Time (ms) | Notes        |
| internship.ruangguru.com        | 104.22.21.245   | 443  | 322.11             | may be usable.  |
| get.ruangguru.com               | 172.67.22.129   | 443  | 322.71             | may be usable.  |
| cicilan.ruangguru.com           | 104.22.20.245   | 443  | 324.09             | may be usable.  |
| champion.ruangguru.com          | 172.67.22.129   | 443  | 325.10             | may be usable.  |
| mitra.ruangguru.com             | 172.67.22.129   | 443  | 326.68             | may be usable.  |
| cicilan.ruangguru.com           | 172.67.22.129   | 443  | 328.43             | may be usable.  |
| blog.ruangguru.com              | 104.22.21.245   | 443  | 329.64             | may be usable.  |
| tps.ruangguru.com               | 172.67.22.129   | 443  | 330.64             | may be usable.  |
| bimbel.ruangguru.com            | 172.67.22.129   | 443  | 331.19             | may be usable.  |
| audisi.ruangguru.com            | 104.22.20.245   | 443  | 331.83             | may be usable.  |
| champion.ruangguru.com          | 104.22.21.245   | 443  | 333.49             | may be usable.  |
| bts.ruangguru.com               | 104.22.21.245   | 443  | 340.52             | may be usable.  |
| sekolahonline.ruangguru.com     | 104.22.21.245   | 443  | 343.02             | may be usable.  |
| blog.ruangguru.com              | 104.22.20.245   | 443  | 344.52             | may be usable.  |
| utbk.ruangguru.com              | 104.22.21.245   | 443  | 344.12             | may be usable.  |
| zoom.us                         | 170.114.52.2    | 443  | 348.46             | may be usable.  |
| belajar.ruangguru.com           | 104.22.21.245   | 443  | 354.47             | may be usable.  |
| event.ruangguru.com             | 104.22.20.245   | 443  | 358.51             | may be usable.  |
| kampusmerdeka.ruangguru.com     | 172.67.22.129   | 443  | 362.06             | may be usable.  |
| kelas.ruangguru.com             | 104.22.20.245   | 443  | 363.87             | may be usable.  |
| belajar.ruangguru.com           | 172.67.22.129   | 443  | 361.36             | may be usable.  |
| tryout.ruangguru.com            | 104.22.21.245   | 443  | 374.88             | may be usable.  |
| diskon.ruangguru.com            | 104.22.20.245   | 443  | 381.78             | may be usable.  |
| leap.ruangguru.com              | 172.67.22.129   | 443  | 393.56             | may be usable.  |
| internship.ruangguru.com        | 104.22.20.245   | 443  | 393.01             | may be usable.  |
| get.ruangguru.com               | 104.22.20.245   | 443  | 404.96             | may be usable.  |
| layanan.ruangguru.com           | 172.67.22.129   | 443  | 434.05             | may be usable.  |
| collaborate.quipper.com          | 104.18.8.196    | 443  | 497.87             | may be usable.  |
| subscribe.quipper.com            | 104.18.8.196    | 443  | 507.20             | may be usable.  |
| collaborate.quipper.com          | 104.18.9.196    | 443  | 551.45             | may be usable.  |
| subscribe.quipper.com            | 104.18.9.196    | 443  | 560.47             | may be usable.  |
| app.zoom.us                     | 170.114.52.2    | 443  | 596.40             | may be usable.  |
| quipper.com                     | 108.138.141.41  | 443  | 1069.21            | may be usable.  |
| webex.com                       | 144.196.130.69  | 443  | 1269.48            | may be usable.  |
| zoom.com                        | 170.114.0.14    | 443  | 1450.17            | may be usable.  |

## Failed
These domains failed to respond successfully, returning errors like HTTP 403, 404, 503, or other issues.

| Domain                          | IP              | Port | Response Code/Error          | Notes                              |
|---------------------------------|-----------------|------|-----------------------------|------------------------------------|
| store-asia.duolingo.com         | 104.18.217.221  | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| store-asia.duolingo.com         | 104.18.218.221  | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| campus-client.quipper.com       | 104.18.8.196    | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| campus-client.quipper.com       | 104.18.9.196    | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| devs.quipper.com                | 104.21.80.1     | 443  | HTTP/2 103                  | returned HTTP/2 103                |
| devs.quipper.com                | 104.21.112.1    | 443  | HTTP/2 103                  | returned HTTP/2 103                |
| devs.quipper.com                | 104.21.48.1     | 443  | HTTP/2 103                  | returned HTTP/2 103                |
| devs.quipper.com                | 104.21.96.1     | 443  | HTTP/2 103                  | returned HTTP/2 103                |
| devs.quipper.com                | 104.21.64.1     | 443  | HTTP/2 103                  | returned HTTP/2 103                |
| link.quipper.com                | 104.18.8.196    | 443  | HTTP/2 308                  | returned HTTP/2 308                |
| link.quipper.com                | 104.18.9.196    | 443  | HTTP/2 308                  | returned HTTP/2 308                |
| math.quipper.com                | 104.18.8.196    | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| math.quipper.com                | 104.18.9.196    | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| media.quipper.com               | 104.18.9.196    | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| media.quipper.com               | 104.18.8.196    | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| mediacdn.quipper.com            | 104.18.9.196    | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| mediacdn.quipper.com            | 104.18.8.196    | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| video-cdn.quipper.com           | 104.18.8.196    | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| video-cdn.quipper.com           | 104.18.9.196    | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| ads.ruangguru.com               | 104.22.20.245   | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| ads.ruangguru.com               | 104.22.21.245   | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| ads.ruangguru.com               | 172.67.22.129   | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| asuransi.ruangguru.com          | 172.67.22.129   | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| asuransi.ruangguru.com          | 104.22.20.245   | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| asuransi.ruangguru.com          | 104.22.21.245   | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| io.ruangguru.com                | 104.22.21.245   | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| io.ruangguru.com                | 172.67.22.129   | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| io.ruangguru.com                | 104.22.20.245   | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| lineacademy.ruangguru.com       | 172.67.22.129   | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| lineacademy.ruangguru.com       | 104.22.21.245   | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| lineacademy.ruangguru.com       | 104.22.20.245   | 443  | HTTP/2 404                  | returned HTTP/2 404                |
| me.ruangguru.com                | 104.22.21.245   | 443  | HTTP/2 307                  | returned HTTP/2 307                |
| me.ruangguru.com                | 104.22.20.245   | 443  | HTTP/2 307                  | returned HTTP/2 307                |
| me.ruangguru.com                | 172.67.22.129   | 443  | HTTP/2 307                  | returned HTTP/2 307                |
| roboguru-ui.ruangguru.com       | 104.22.20.245   | 443  | HTTP/2 503                  | returned HTTP/2 503                |
| gomarketplacefront-cf.zoom.us   | 104.18.22.85    | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| gomarketplacefront-cf.zoom.us   | 104.18.23.85    | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| gomarketplacecontent-cf.zoom.us | 104.18.29.141   | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| gomarketplacecontent-cf.zoom.us | 104.18.28.141   | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| ade.zoom.com                    | 172.64.149.52   | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| ade.zoom.com                    | 104.18.38.204   | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| int-optimizely.zoom.com         | 172.64.149.52   | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| int-optimizely.zoom.com         | 104.18.38.204   | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| library.zoom.com                | 104.18.40.47    | 443  | HTTP/2 401                  | returned HTTP/2 401                |
| library.zoom.com                | 172.64.147.209  | 443  | HTTP/2 401                  | returned HTTP/2 401                |
| stage-optimizely.zoom.com       | 172.64.149.52   | 443  | HTTP/2 503                  | returned HTTP/2 503                |
| stage-optimizely.zoom.com       | 104.18.38.204   | 443  | HTTP/2 503                  | returned HTTP/2 503                |
| trust.zoom.com                  | 104.18.4.130    | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| trust.zoom.com                  | 104.18.5.130    | 443  | HTTP/2 403                  | returned HTTP/2 403                |
| th-oc.ruangguru.com             | 3.164.163.18    | 443  | list index out of range     | failed: list index out of range    |
| th-oc.ruangguru.com             | 3.164.163.37    | 443  | list index out of range     | failed: list index out of range    |
| th-oc.ruangguru.com             | 3.164.163.119   | 443  | list index out of range     | failed: list index out of range    |
| th-oc.ruangguru.com             | 3.164.163.106   | 443  | list index out of range     | failed: list index out of range    |
| carrier.webex.com               | 162.159.134.42  | 443  | list index out of range     | failed: list index out of range    |
